Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
176 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
177 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
177 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
180 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
181 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
181 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
184 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
185 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
188 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
189 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
193 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3876 Ormesby Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 4-05-06
3877 Ormesby Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 4-05-06
3881 Ormesby Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3892 Leighton Lane,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3893 Leighton Lane,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
300 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
301 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
304 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
304 Jane Briggs Avenue,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
304 Richardson Place,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
305 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
305 Jane Briggs Avenue,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
305 Richardson Place,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
308 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
308 Jane Briggs Avenue,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
308 Richardson Place,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
309 Isabella Lane,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
309 Jane Briggs Avenue,1670.91,1676.83,520.27,300.93,1416.73,237.14,M-413,SWR RES282-2002; NSWR RES421-2002
