Address,entry_date,,,,
2617 Cayman Heights,4/17/14,,,,
2633 Cayman Heights,8/26/15,,,,
2641 Cayman Heights,10/29/15,,,,
2648 Cayman Heights,4/30/14,,,,
2649 Cayman Heights,6/3/15,,,,
2656 Cayman Heights,11/13/15,,,,
2657 Cayman Heights,11/20/14,,,,
2664 Cayman Heights,4/30/14,,,,
2675 Cayman Heights,4/1/13,,,,
269 Grassland Park,9/20/13,,,,
2775 Polo Club Boulevard,12/31/99,,,,
2795 Polo Club Boulevard,12/31/99,,,,
281 Hannah Todd Place,9/3/08,,,,
289 Hannah Todd Place,3/18/11,,,,
2920 Bobwhite Trail,10/28/13,,,,
2928 Bobwhite Trail,10/16/15,,,,
2936 Bobwhite Trail,10/3/18,,,,
2948 Polo Club Boulevard,12/31/99,,,,
2952 Polo Club Boulevard,12/31/99,,,,
2956 Polo Club Boulevard,12/31/99,,,,
2960 Polo Club Boulevard,12/31/99,,,,
2964 Polo Club Boulevard,12/31/99,,,,
2980 Polo Club Boulevard,12/31/99,,,,
2984 Bobwhite Trail,4/24/18,,,,
2993 Mahala Lane,12/20/04,,,,
2993 Polo Club Boulevard,1/19/06,,,,
2997 Polo Club Boulevard,1/19/06,,,,
3000 Blackford Parkway,4/27/10,,,,
3000 Quaker Hill Lane,2/11/00,,,,
3001 Bobwhite Trail,12/31/13,,,,
3001 Falling Leaves Lane,9/20/16,,,,
3001 Shaker Oaks Court,6/8/00,,,,
3001 Shaker Run Circle,2/10/00,,,,
3002 Falling Leaves Lane,10/20/14,,,,
3004 Blackford Parkway,2/22/12,,,,
3004 Blackmoor Park Circle,1/22/01,,,,
3004 Polo Club Boulevard,8/30/01,,,,
3004 Quaker Hill Lane,2/11/00,,,,
3004 Shaker Run Circle,4/4/00,,,,
3005 Falling Leaves Lane,9/23/13,,,,
3005 Polo Club Boulevard,2/8/00,,,,
3005 Quaker Hill Lane,10/2/00,,,,
3005 Shaker Run Circle,2/10/00,,,,
